title,description,protein,carbs,fats,calories,category
Protein Pancakes,"Fluffy pancakes made with protein powder, oats, and bananas.",20,40,10,350,Breakfast
Avocado Toast,"Whole grain toast topped with mashed avocado, salt, and pepper.",6,28,15,300,Breakfast
Greek Yogurt Parfait,"Layers of Greek yogurt, honey, granola, and mixed berries.",15,45,8,350,Breakfast
Chicken Salad,"Grilled chicken breast with mixed greens, cherry tomatoes, and a light vinaigrette.",30,10,15,300,Lunch
Quinoa Bowl,"Quinoa with black beans, corn, avocado, and a lime dressing.",12,40,10,320,Lunch
Turkey Wrap,"Whole wheat wrap with turkey, spinach, and a mustard spread.",25,30,8,320,Lunch
Grilled Salmon,Grilled salmon fillet with a side of steamed broccoli and quinoa.,25,20,15,400,Dinner
Stir-Fry Vegetables,Mixed vegetables stir-fried with tofu and a soy sauce glaze.,15,30,10,250,Dinner
Chicken Stir-Fry,"Chicken breast stir-fried with bell peppers, broccoli, and soy sauce.",30,20,10,350,Dinner
Protein Shake,"A shake made with protein powder, almond milk, and a banana.",25,30,5,250,Snack
Hummus and Veggies,"Hummus served with sliced bell peppers, carrots, and cucumber.",7,20,10,180,Snack
Apple and Peanut Butter,Sliced apple with a serving of natural peanut butter.,4,25,15,250,Snack
Protein Pancakes 1,"Fluffy pancakes made with protein powder, oats, and bananas 1.",21,41,11,360,Breakfast
Avocado Toast 1,"Whole grain toast topped with mashed avocado, salt, and pepper 1.",7,29,16,310,Breakfast
Greek Yogurt Parfait 1,"Layers of Greek yogurt, honey, granola, and mixed berries 1.",16,46,9,360,Breakfast
Chicken Salad 1,"Grilled chicken breast with mixed greens, cherry tomatoes, and a light vinaigrette 1.",31,11,16,310,Lunch
Quinoa Bowl 1,"Quinoa with black beans, corn, avocado, and a lime dressing 1.",13,41,11,330,Lunch
Turkey Wrap 1,"Whole wheat wrap with turkey, spinach, and a mustard spread 1.",26,31,9,330,Lunch
Grilled Salmon 1,Grilled salmon fillet with a side of steamed broccoli and quinoa 1.,26,21,16,410,Dinner
Stir-Fry Vegetables 1,Mixed vegetables stir-fried with tofu and a soy sauce glaze 1.,16,31,11,260,Dinner
Chicken Stir-Fry 1,"Chicken breast stir-fried with bell peppers, broccoli, and soy sauce 1.",31,21,11,360,Dinner
Protein Shake 1,"A shake made with protein powder, almond milk, and a banana 1.",26,31,6,260,Snack
Hummus and Veggies 1,"Hummus served with sliced bell peppers, carrots, and cucumber 1.",8,21,11,190,Snack
Apple and Peanut Butter 1,Sliced apple with a serving of natural peanut butter 1.,5,26,16,260,Snack
